Column 1,Column 2,Correlation Coefficient
gnb_cu_l3_l3_main_var,anomaly,-0.027278807316401706
gnb_cu_pdcp_0_0_f1_worker_0_var,anomaly,-0.026097500209443496
gnb_cu_pdcp_0_0_pdcp_worker_0_var,anomaly,-0.0006443309654779739
gnb_cu_pdcp_0_0_recv_data_0_var,anomaly,0.06995906938387172
gnb_du_layer2_LowPrio_DU1_C0_var,anomaly,-0.020973337552062123
gnb_du_layer2_TxCtrl_DU1_C0_var,anomaly,0.008430473704221508
gnb_du_layer2_pr_accumulator_var,anomaly,-0.09785318676970199
gnb_du_layer2_rlcAccum_DU1_var,anomaly,-0.0034068019131259803
gnb_du_layer2_rlcTimer_DU1_var,anomaly,-0.027687165402380087
l1app_main_ebbupool_act_0_var,anomaly,-0.012772633929731693
l1app_main_ebbupool_act_1_var,anomaly,-0.03582836095739999
l1app_main_ebbupool_act_2_var,anomaly,-0.042855822842607035
l1app_main_ebbupool_act_3_var,anomaly,-0.05397381713213425
l1app_main_fh_rx_bbdev-21_var,anomaly,-0.03874614770884777
phc2sys_phc2sys_var,anomaly,-0.012350524988112115
ptp4l_ptp4l_var,anomaly,0.006210579861121778
dumgr_du_1_DUMGR_LOGGER_1_std,anomaly,-0.019653164000523544
dumgr_du_1_dumgr_du_1_std,anomaly,0.009925790500559716
gnb_cu_l3_l3_main_std,anomaly,-0.029202389706308653
gnb_cu_pdcp_0_0_f1_worker_0_std,anomaly,-0.018575678061442266
gnb_cu_pdcp_0_0_pdcp_master_0_std,anomaly,-0.06689906945914802
gnb_cu_pdcp_0_0_pdcp_worker_0_std,anomaly,-0.010890267519347276
gnb_cu_pdcp_0_0_recv_data_0_std,anomaly,0.09157914673170411
gnb_du_layer2_LowPrio_DU1_C0_std,anomaly,-0.0316547529375294
gnb_du_layer2_TxCtrl_DU1_C0_std,anomaly,-0.017413590197540043
gnb_du_layer2_rlcAccum_DU1_std,anomaly,0.0038044007483364296
gnb_du_layer2_rlcTimer_DU1_std,anomaly,-0.02923695791738428
l1app_main_ebbupool_act_0_std,anomaly,-0.0005817858845466416
l1app_main_ebbupool_act_1_std,anomaly,-0.043435920912879095
l1app_main_ebbupool_act_2_std,anomaly,-0.04846985750157632
l1app_main_ebbupool_act_3_std,anomaly,-0.059071740655170846
l1app_main_fh_rx_bbdev-21_std,anomaly,-0.02273628116977276
phc2sys_phc2sys_std,anomaly,-0.010992376302473138
ptp4l_ptp4l_std,anomaly,-0.001032388319839736
dumgr_du_1_DUMGR_LOGGER_1_skewness,anomaly,-0.011614752576396305
dumgr_du_1_dumgr_du_1_skewness,anomaly,-0.01792654830820104
gnb_cu_l3_l3_main_skewness,anomaly,0.01584152615023569
gnb_cu_pdcp_0_0_f1_worker_0_skewness,anomaly,0.0032535942810545575
gnb_cu_pdcp_0_0_pdcp_worker_0_skewness,anomaly,-0.05169413310194957
gnb_du_layer2_TxCtrl_DU1_C0_skewness,anomaly,-0.03255363151671604
gnb_du_layer2_rlcAccum_DU1_skewness,anomaly,0.0005608582370158178
gnb_du_layer2_rlcTimer_DU1_skewness,anomaly,0.07354767830666278
l1app_main_ebbupool_act_0_skewness,anomaly,0.02293765303181617
l1app_main_ebbupool_act_1_skewness,anomaly,-0.004600081858034291
l1app_main_ebbupool_act_2_skewness,anomaly,0.013036715915070345
l1app_main_ebbupool_act_3_skewness,anomaly,0.02128196127580096
l1app_main_fh_rx_bbdev-21_skewness,anomaly,-0.003757049332733466
phc2sys_phc2sys_skewness,anomaly,0.007242625601855332
ptp4l_ptp4l_skewness,anomaly,0.005390766214544609
dumgr_du_1_DUMGR_LOGGER_1_kurtosis,anomaly,-0.012723744084958308
dumgr_du_1_dumgr_du_1_kurtosis,anomaly,-0.015455299398040778
gnb_cu_l3_l3_main_kurtosis,anomaly,0.016122185676090067
gnb_cu_pdcp_0_0_f1_worker_0_kurtosis,anomaly,0.007439359830646199
gnb_cu_pdcp_0_0_pdcp_worker_0_kurtosis,anomaly,-0.05248209649215976
gnb_du_layer2_TxCtrl_DU1_C0_kurtosis,anomaly,-0.023157469933217625
gnb_du_layer2_rlcAccum_DU1_kurtosis,anomaly,0.0006867873767474129
gnb_du_layer2_rlcTimer_DU1_kurtosis,anomaly,0.07349998406474965
l1app_main_ebbupool_act_0_kurtosis,anomaly,0.0233361459265749
l1app_main_ebbupool_act_1_kurtosis,anomaly,-0.00476591107873645
l1app_main_ebbupool_act_2_kurtosis,anomaly,0.01300607205740125
l1app_main_ebbupool_act_3_kurtosis,anomaly,0.021334696392838144
l1app_main_fh_rx_bbdev-21_kurtosis,anomaly,-0.0033498763530011625
phc2sys_phc2sys_kurtosis,anomaly,0.0067075923023593425
ptp4l_ptp4l_kurtosis,anomaly,0.008602012671173357
dumgr_du_1_DUMGR_LOGGER_1_irq,anomaly,0.0007050563423672665
dumgr_du_1_dumgr_du_1_irq,anomaly,0.001631853202184906
gnb_cu_l3_l3_main_irq,anomaly,-0.0359728868656576
gnb_cu_pdcp_0_0_pdcp_master_0_irq,anomaly,-0.017071432156834654
gnb_cu_pdcp_0_0_pdcp_worker_0_irq,anomaly,0.03129614934295565
gnb_cu_pdcp_0_0_recv_data_0_irq,anomaly,-0.09555958986697317
gnb_du_layer2_LowPrio_DU1_C0_irq,anomaly,-0.08123469568074265
gnb_du_layer2_TxCtrl_DU1_C0_irq,anomaly,-0.03995983343401734
l1app_main_ebbupool_act_0_irq,anomaly,-0.015115892589991829
l1app_main_fh_rx_bbdev-21_irq,anomaly,0.0027104866515057125
phc2sys_phc2sys_irq,anomaly,0.0004713719488810797
ptp4l_ptp4l_irq,anomaly,0.005227979824445351
dumgr_du_1_DUMGR_LOGGER_1_outliers,anomaly,-0.02205904113507252
dumgr_du_1_dumgr_du_1_outliers,anomaly,-0.014891985247303131
gnb_cu_l3_l3_main_outliers,anomaly,-0.019534450343936693
gnb_cu_pdcp_0_0_f1_worker_0_outliers,anomaly,0.00955157521139047
gnb_cu_pdcp_0_0_pdcp_master_0_outliers,anomaly,0.03555210476998417
gnb_du_layer2_pr_accumulator_outliers,anomaly,-0.009231585481640388
gnb_du_layer2_rlcAccum_DU1_outliers,anomaly,-0.01902642166943606
l1app_main_fh_rx_bbdev-21_outliers,anomaly,-0.0053513433882590245
phc2sys_phc2sys_outliers,anomaly,0.0068399462459687345
ptp4l_ptp4l_outliers,anomaly,0.025801197957949495
in_octet_total_Ethernet15/2,anomaly,-0.0041186081429325574
in_octet_total_Ethernet31/1,anomaly,-0.004117672696757634
out_octet_total_Ethernet15/2,anomaly,-0.004115776869237802
out_octet_total_Ethernet31/1,anomaly,-0.00411951154829856
